훈련기관명,주소요약,훈련과정명
강남 그린컴퓨터아카데미,서울 강남구,『주말반』 6일완성! 유튜브 영상편집(프리미어+애프터 이펙트)
강남 그린컴퓨터아카데미,서울 강남구,컴활2급 이렇게 쉬웠어? (핵심요약+엑셀 자격증대비)
강남 그린컴퓨터아카데미,서울 강남구,컴퓨터활용능력2급 이렇게 쉬웠어? (핵심요약+엑셀 자격증대비)
강남 그린컴퓨터아카데미,서울 강남구,『그래픽디자인』초보자도 쉽고 재밌게 배우는 일러스트
강남 그린컴퓨터아카데미,서울 강남구,"웹퍼블리셔의 시작! (웹표준, HTML, CSS, HTML5, CSS3) 반응형 웹디자인"
강남 그린컴퓨터아카데미,서울 강남구,『디자인 실무』 스킬 업을 위한 포토샵
강남 그린컴퓨터아카데미,서울 강남구,누구나 쉽게 배우는 일러스트 편집디자인(39H)
강남 그린컴퓨터아카데미,서울 강남구,"웹퍼블리셔(자바스크립트,제이쿼리)마스터 과정-1"
강남 그린컴퓨터아카데미,서울 강남구,"영상 편집 [포토샵,일러스트.프리미어,에프터이펙트] 실무 양성 과정 "
강남 그린컴퓨터아카데미,서울 강남구,"(BIM) 디지털 건축설계(캐드,레빗,스케치업,맥스)_인테리어디자인 실무 양성과정 A"
강남 그린컴퓨터아카데미,서울 강남구,너도 가능하다❗ 그래픽 마스터❗ (포토샵GTQ+일러스트GTQI)
강남 그린컴퓨터아카데미,서울 강남구,"프로젝트기반 자바(스프링,백엔드)&파이썬(OCR) 풀스택 웹 개발자 양성과정"
강남 그린컴퓨터아카데미,서울 강남구,증강현실(AR) SW개발자(자바(GUI) & 코틀린) 앱 개발자 양성과정 
강남 그린컴퓨터아카데미,서울 강남구,"영상콘텐츠제작(포토샵,프리미어,애프터이펙트)편집디자인과정"
강남 그린컴퓨터아카데미,서울 강남구,[그래픽디자인]일러스트레이터 활용 실무테크닉
강남 그린컴퓨터아카데미,서울 강남구,『자격증NO』 빠른 습득을 위한 엑셀(OA) 실무과정
강남 그린컴퓨터아카데미,서울 강남구,컴퓨터활용능력1급 (필기/실기) 초단기 취득대비 반!
강남 그린컴퓨터아카데미,서울 강남구,"『한번에 취득』재경관리사(재무회계,원가관리회계,세무회계)자격증 대비과정"
강남 그린컴퓨터아카데미,서울 강남구,[디자이너 필수 자격증] 컬러리스트(산업)기사 실기 과정
강남 그린컴퓨터아카데미,서울 강남구,[과정평가형]UI/UX 디자인 반응형 웹 양성과정 (웹디자인기능사) A
강남 그린컴퓨터아카데미,서울 강남구,"[과정평가형] 실내건축기능사 취득과정 (인테리어,캐드(CAD),스케치업)A(24)"
강남 그린컴퓨터아카데미,서울 강남구,(디지털디자인)UIUX 반응형 웹디자인 & 웹퍼블리셔(디자인&코딩) 양성 08
강남 그린컴퓨터아카데미,서울 강남구,『One-Stop』 트렌디한 실내건축설계를 위한 캐드+스케치업
강남 그린컴퓨터아카데미,서울 강남구,"『핵심 콕콕』영상제작편집디자인 (프리미어, 에프터이펙트)"
강남 그린컴퓨터아카데미,서울 강남구,누구나 쉽게 배우는 포토샵 편집디자인(39H)
강남 그린컴퓨터아카데미,서울 강남구,『한달코스』전산응용건축제도기능사(실기) 이렇게 쉬웠어? (캐드실무+자격증)
강남 그린컴퓨터아카데미,서울 강남구,『초단기완성』 유튜브(Youtube)영상편집 입문과정
강남 그린컴퓨터아카데미,서울 강남구,『스프링(spring)』자바(JAVA) 활용 모던 웹 개발과정_[290H]
강남 그린컴퓨터아카데미,서울 강남구,(디지털디자인)UIUX 반응형 웹디자인 & 웹퍼블리셔(디자인&코딩) 양성 06
강남 그린컴퓨터아카데미,서울 강남구,자바로 시작하는 프로그래밍 입문
강남 그린컴퓨터아카데미,서울 강남구,"『GTQ 자격취득』포토샵(디지털콘텐츠제작, 이미지편집)"
강남 그린컴퓨터아카데미,서울 강남구,"『일석이조』ERP정보관리사(회계2급,인사2급) 자격증 취득과정"
강남 그린컴퓨터아카데미,서울 강남구,실내건축설계 캐드(CAD) 도면  향상과정
강남 그린컴퓨터아카데미,서울 강남구,파이썬으로 시작하는 기초코딩
강남 그린컴퓨터아카데미,서울 강남구,실내건축자격증 실기 (산업)기사 이렇게 쉬웠어?_B
강남 그린컴퓨터아카데미,서울 강남구,『주말반』 첫 코딩 with JAVA 맛보기
강남 그린컴퓨터아카데미,서울 강남구,"(BIM) 디지털 건축설계(캐드,레빗,스케치업,맥스)_인테리어디자인 실무 양성과정 B"
강남 그린컴퓨터아카데미,서울 강남구,"웹퍼블리셔-1 (HTML, CSS, 웹표준, HTML5, CSS3) 실무 과정"
강남 그린컴퓨터아카데미,서울 강남구,『GTQ 자격취득』초보자도 쉽고 재밌게 배우는 포토샵 
강남 그린컴퓨터아카데미,서울 강남구,"『영상편집 & 유튜브』초보자를 위한 프리미어, 에프터펙트 동영상 편집과정 "
강남 그린컴퓨터아카데미,서울 강남구,"(BIM) 디지털 건축설계(캐드,레빗,스케치업,맥스)_인테리어디자인 실무 양성과정 04"
강남 그린컴퓨터아카데미,서울 강남구,『주말반』 캐드 (AUTOCAD) 평면도 설계도면 기초다지기
강남 그린컴퓨터아카데미,서울 강남구,"웹퍼블리셔 프론트개발(웹표준, HTML5, CSS) 기초부터 실무활용"
강남 그린컴퓨터아카데미,서울 강남구,실내건축설계를 위한 스케치업(SketchUp/V-ray)
강남 그린컴퓨터아카데미,서울 강남구,"『주말반』 웹퍼블리셔의 시작! (웹표준, HTML, CSS, HTML5, CSS3) 반응형 웹디자인"
강남 그린컴퓨터아카데미,서울 강남구,실내건축자격증 실기 (산업)기사 이렇게 쉬웠어?_A
강남 그린컴퓨터아카데미,서울 강남구, 처음배우는 포토샵+일러스트 기초활용(60H)
강남 그린컴퓨터아카데미,서울 강남구,[컴활2급]컴퓨터활용능력2급 OA엑셀+자격증 취득과정[저녁반]
강남 그린컴퓨터아카데미,서울 강남구,『컴활』컴퓨터활용능력 2급 자격증실기과정(엑셀활용)
강남 그린컴퓨터아카데미,서울 강남구,Javascript/jQuery_36시간
강남 그린컴퓨터아카데미,서울 강남구,실내건축 [오토캐드-AUTO CAD] 도면설계 기초
강남 그린컴퓨터아카데미,서울 강남구,"웹퍼블리셔(웹표준, HTML5, CSS3, 반응형웹디자인) 코딩 실무 활용과정"
강남 그린컴퓨터아카데미,서울 강남구,(디지털디자인)UIUX 반응형 웹디자인 & 웹퍼블리셔(디자인&코딩) 양성 E
강남 그린컴퓨터아카데미,서울 강남구,HTML5 & CSS3 웹표준_36시간
강남 그린컴퓨터아카데미,서울 강남구,『그래픽디자인』포토샵(GTQ취득)기초부터 실무테크닉
강남 그린컴퓨터아카데미,서울 강남구,(디지털디자인)UIUX 반응형 웹디자인 & 웹퍼블리셔(디자인&코딩) 양성 B
강남 그린컴퓨터아카데미,서울 강남구,"『실무활용 100%』ERP정보관리사(회계2급,인사2급) 자격증 취득과정"
강남 그린컴퓨터아카데미,서울 강남구,[디자이너 필수 자격증] 컬러리스트(산업)기사 실기 과정
강남 그린컴퓨터아카데미,서울 강남구,『실내건축설계』스케치업(V-Ray) 기초부터 실무활용
강남 그린컴퓨터아카데미,서울 강남구,"[영상제작편집(포토샵,프리미어,에펙)] 모션그래픽 실무활용"
강남 그린컴퓨터아카데미,서울 강남구,『일석이조』전산세무2급 실무 교육과 자격증 취득과정
강남 그린컴퓨터아카데미,서울 강남구,처음하는 자바(JAVA) 입문
강남 그린컴퓨터아카데미,서울 강남구,전산응용건축제도기능사 이렇게 쉬웠어? (캐드+실기기출)
강남 그린컴퓨터아카데미,서울 강남구,『일석이조』전산세무1급 실무 교육과 자격증 취득과정
강남 그린컴퓨터아카데미,서울 강남구,『일석이조』전산회계1급 실무 교육과 자격증 취득과정
강남 그린컴퓨터아카데미,서울 강남구,"『취업&실무』에 필요한 컴퓨터활용능력1급 (컴활) 실기취득(엑셀,엑세스)"
강남 그린컴퓨터아카데미,서울 강남구,『컴활1급』컴퓨터활용능력1급 실기 자격증 취득 과정
강남 그린컴퓨터아카데미,서울 강남구,『나도할수있다』영상(유튜브)편집 쉽게 배우기
강남 그린컴퓨터아카데미,서울 강남구,[과정평가형]UI/UX 디자인 반응형 웹 양성과정 (웹디자인기능사) B
강남 그린컴퓨터아카데미,서울 강남구,"영상콘텐츠제작(포토샵,프리미어,애프터이펙트)실무 양성과정"
강남 그린컴퓨터아카데미,서울 강남구,『V-Ray』실내건축설계 스케치업(SketchUp) 향상과정
강남 그린컴퓨터아카데미,서울 강남구,[컴활2급]컴활2급 자격증 취득과정(엑셀)
강남 그린컴퓨터아카데미,서울 강남구,"『09:00~14:00』경리실무 및 전산회계1급,전산세무2급, AT 자격증 취득"
강남 그린컴퓨터아카데미,서울 강남구,컴퓨터활용능력2급 실기 취득(엑셀 활용)																					
강남 그린컴퓨터아카데미,서울 강남구,네이버 스마트스토어 시작하기
강남 그린컴퓨터아카데미,서울 강남구,"(BIM) 디지털 건축설계(캐드,레빗,스케치업,맥스)_인테리어디자인 실무 양성과정 02"
강남 그린컴퓨터아카데미,서울 강남구,『공식시험센터』전산세무2급 자격증 취득과정(더존SmartA 실무)
강남 그린컴퓨터아카데미,서울 강남구,"『메타버스_제페토』블렌더를 화용한 3D그래픽제작(캐릭터,가구,의류)"
강남 그린컴퓨터아카데미,서울 강남구,편집(시각)디자인(포토샵+일러스트+인디자인)실무+GTQ 자격증 취득
